First,Last,Nickname,Ht.,Wt.,Reach,Stance,W,L,D,Belt,SLpM,Str.Acc,SApM,Str.Def,TD Avg,TD Acc,TD Def,Sub. Avg
Nick,Ertl,,"5' 9""",155 lbs.,--,,8,6,0,0,1.34,69%,1.59,41%,1.88,50%,0%,0
Chel,Erwin-Davis,The First Sun,"6' 0""",170 lbs.,--,,5,1,0,0,4.06,54%,1.13,61%,4.25,100%,50%,1.4
Bobby,Escalante,,--,130 lbs.,--,,5,6,0,0,0,0%,0,0%,0,0%,0%,0
Eric,Esch,Butterbean,"5' 11""",350 lbs.,--,Orthodox,15,10,1,0,3.07,71%,1.74,43%,0,0%,0%,2
Pro,Escobedo,,--,205 lbs.,--,,1,0,0,0,0,0%,0,0%,0,0%,0%,0
Cole,Escovedo,Apache Kid,"5' 7""",135 lbs.,"72.0""",Orthodox,17,9,0,0,1.77,43%,4.32,49%,0.43,33%,13%,0
Efrain,Escudero,Hecho En Mexico,"5' 9""",155 lbs.,"71.0""",Orthodox,28,12,0,0,2.92,44%,2.3,63%,1.31,40%,66%,0.8
Evan,Esguerra,,--,145 lbs.,--,,8,7,0,0,0,0%,0,0%,0,0%,0%,0
Carla,Esparza,Cookie Monster,"5' 1""",115 lbs.,"63.0""",Orthodox,20,7,0,0,2.16,40%,2.69,55%,3.22,35%,47%,0.3
Juan,Espino,El Guapo,"6' 3""",255 lbs.,"80.0""",Orthodox,11,2,0,0,2.38,70%,1.95,40%,8.93,78%,50%,2.4
Jordan,Espinosa,The Gamer,"5' 6""",125 lbs.,"69.0""",Orthodox,15,9,0,0,4.22,52%,2.94,57%,0.75,28%,70%,0.2
Jodie,Esquibel,,"5' 1""",115 lbs.,"64.0""",Orthodox,6,6,0,0,4.1,31%,7.37,52%,0.75,21%,83%,0
Rafael,Estevam,Macapa,"5' 8""",125 lbs.,"69.0""",Orthodox,11,0,0,0,6.47,80%,0.4,50%,4.04,50%,0%,0
Achilles,Estremadura,,"5' 10""",155 lbs.,"68.0""",Orthodox,7,1,0,0,3.2,43%,3.27,70%,0,0%,0%,0
Shaun,Etchell,The Buzzsaw,"5' 7""",125 lbs.,"68.0""",Switch,7,3,0,0,0,0%,0,0%,4.37,100%,100%,0
Terry,Etim,,"6' 1""",155 lbs.,"73.0""",Orthodox,16,5,0,0,2.16,35%,2.53,67%,0.43,30%,39%,1.4
Fred,Ettish,,"6' 0""",180 lbs.,--,Southpaw,1,1,0,0,0,0%,0,0%,0,0%,0%,0
Scott,Ettling,,--,135 lbs.,--,,4,2,0,0,0,0%,0.54,83%,8.04,100%,0%,0
Sijara,Eubanks,SarJ,"5' 4""",125 lbs.,"67.0""",Orthodox,8,7,0,0,4.3,43%,3.43,57%,1.9,44%,66%,0.3
Billy,Evangelista,,"5' 8""",155 lbs.,"68.0""",Orthodox,13,3,0,0,4.51,40%,3.96,61%,1.6,19%,61%,0.2
Rashad,Evans,Suga,"6' 0""",205 lbs.,"75.0""",Orthodox,19,8,1,0,2.14,37%,2.42,63%,2.98,44%,73%,0
Doug,Evans,,"5' 9""",155 lbs.,--,Orthodox,13,10,0,0,1.79,35%,2.55,55%,3.19,83%,69%,0.6
Ashlee,Evans-Smith,Rebel Girl,"5' 8""",135 lbs.,"67.0""",Orthodox,6,6,0,0,4.03,34%,4.59,53%,0.95,22%,50%,0
Dan,Evensen,The Viking,"6' 3""",250 lbs.,--,Orthodox,11,4,0,0,0.27,10%,3.86,38%,0,0%,0%,4
Tonya,Evinger,Triple Threat,"5' 7""",135 lbs.,"70.0""",Orthodox,19,8,0,0,1.16,42%,4.02,38%,0.93,30%,33%,0.9
Movsar,Evloev,,"5' 7""",145 lbs.,"72.0""",Orthodox,17,0,0,0,4.57,49%,2.74,61%,4.71,50%,71%,0.3
Andre,Ewell,Mr. Highlight,"5' 8""",145 lbs.,"75.0""",Southpaw,17,9,0,0,4.28,40%,4.87,51%,0.36,75%,72%,0.1
Neal,Ewing,,--,185 lbs.,--,,6,0,0,0,2.27,60%,1.93,48%,5,62%,0%,0
Jessica,Eye,Evil,"5' 6""",125 lbs.,"66.0""",Orthodox,15,11,0,0,3.86,37%,4.19,55%,0.58,40%,57%,0.5
Edward,Faaloloto,,--,155 lbs.,"70.0""",Orthodox,2,5,0,0,2.28,32%,6.25,44%,1.01,25%,33%,0
Urijah,Faber,The California Kid,"5' 6""",135 lbs.,"67.0""",Orthodox,35,11,0,0,2.65,40%,2.59,64%,1.54,30%,58%,0.8
Melinda,Fabian,,"5' 6""",125 lbs.,"66.0""",Orthodox,4,4,2,0,4.03,41%,4,62%,0,0%,100%,0
Wagnney,Fabiano,The Silencer,"5' 6""",145 lbs.,"69.0""",Southpaw,16,4,0,0,1.19,38%,0.66,70%,3.44,64%,100%,0.4
Bartosz,Fabinski,The Butcher,"6' 0""",170 lbs.,"75.0""",Orthodox,15,5,0,0,2.23,68%,1.46,51%,7.1,70%,80%,0
Ron,Faircloth,,"5' 9""",205 lbs.,--,Orthodox,33,20,0,0,0.39,40%,8.9,42%,0,0%,0%,0
Jason,Fairn,,"6' 1""",230 lbs.,--,,4,5,0,0,0,0%,0,0%,0,0%,0%,0
Zarah,Fairn,Infinite,"5' 8""",135 lbs.,"72.0""",Orthodox,6,6,0,0,4.55,31%,7.4,45%,0,0%,60%,0
Rinat,Fakhretdinov,Gladiator,"6' 0""",170 lbs.,"74.0""",Orthodox,21,1,1,0,4.05,56%,2.16,52%,4.25,46%,100%,0.3
Maiquel,Falcao,Big Rig,"5' 11""",185 lbs.,--,Orthodox,37,10,0,0,1.67,55%,0.53,86%,1,100%,71%,3
Pedro,Falcao,Pedrinho,"5' 6""",135 lbs.,"66.0""",Orthodox,15,3,0,0,3.02,60%,0.57,65%,3.23,60%,83%,0
Brodie,Farber,,"6' 1""",170 lbs.,--,Orthodox,16,7,0,0,1.69,45%,2.17,53%,0.9,50%,20%,0.9
Joao Paulo,Faria,,"5' 9""",155 lbs.,--,,1,1,0,0,6.69,64%,2.09,85%,1.25,50%,0%,1.2
Kalindra,Faria,,"5' 7""",125 lbs.,--,Switch,18,8,1,0,2.23,56%,1.44,45%,1.31,66%,20%,0.7
Jair,Farias,Chosen,"6' 1""",145 lbs.,"76.0""",Orthodox,10,1,0,0,3.8,39%,5.33,51%,0,0%,41%,0
Chance,Farrar,,"5' 9""",145 lbs.,--,Southpaw,8,3,0,0,0.81,22%,2.21,67%,3.02,100%,0%,0
Rico,Farrington,The Triggerman,"6' 4""",170 lbs.,"79.0""",Southpaw,7,3,0,0,6.33,41%,7.2,51%,0,0%,20%,0
Kelly,Faszholz,,"5' 8""",135 lbs.,--,Orthodox,4,2,0,0,4.01,48%,3.61,52%,0,0%,44%,0
Rodney,Faverus,,"6' 0""",215 lbs.,--,Southpaw,25,20,3,0,2.3,53%,1.6,54%,4.5,100%,25%,0
Paul,Felder,The Irish Dragon,"5' 11""",155 lbs.,"70.0""",Orthodox,17,6,0,0,3.7,44%,3.44,48%,0.29,28%,64%,0.2
Carlos,Felipe,Boi,"6' 0""",245 lbs.,"75.0""",Orthodox,11,2,0,0,4.88,45%,5.6,50%,0,0%,72%,0
JP,Felty,,--,170 lbs.,--,,4,5,0,0,0,0%,0,0%,0,0%,0%,0
Feng,Pengchao,,--,135 lbs.,--,,15,9,1,0,0,0%,0,0%,0,0%,0%,0
Kevin,Ferguson,Kimbo Slice,"6' 2""",235 lbs.,"77.0""",Orthodox,5,2,0,0,2.3,50%,3.41,38%,3.1,72%,36%,1.2
Rhadi,Ferguson,,"5' 7""",205 lbs.,--,,3,0,0,0,0,0%,0,0%,0,0%,0%,0
Tony,Ferguson,El Cucuy,"5' 11""",155 lbs.,"76.0""",Orthodox,26,9,0,0,4.98,45%,4.26,56%,0.42,35%,66%,0.9
Josh,Ferguson,Taz,"5' 5""",125 lbs.,--,Orthodox,10,5,0,0,2.13,43%,4.18,32%,0.59,11%,54%,0
CJ,Fernandes,,"6' 2""",170 lbs.,--,,14,8,3,0,0,0%,0,0%,0,0%,0%,0
Bibiano,Fernandes,,"5' 7""",139 lbs.,--,Orthodox,20,3,0,0,2.91,40%,2.02,72%,3.97,53%,77%,0.6
Gabriella,Fernandes,Gabi,"5' 6""",125 lbs.,"66.0""",Southpaw,8,3,0,0,1.63,47%,2.7,47%,0,0%,61%,0
Kaue,Fernandes,,"5' 9""",155 lbs.,"73.0""",Orthodox,8,2,0,0,1.53,54%,0.87,59%,1,100%,62%,0
Emily,Fernandez,,--,--,--,,0,0,0,0,0,0%,0,0%,0,0%,0%,0
Lucas,Fernando,,"6' 3""",185 lbs.,"80.0""",,9,2,0,0,1.87,51%,4.73,38%,3,30%,0%,1
Alexandre,Ferreira,Cacareco,"5' 7""",205 lbs.,--,Orthodox,18,6,0,0,2.57,60%,8.14,42%,0,0%,0%,0
Cezar,Ferreira,Mutante,"6' 1""",185 lbs.,"78.0""",Southpaw,13,8,0,0,1.9,42%,2.44,53%,2.69,53%,84%,0.5
Diego,Ferreira,,"5' 9""",155 lbs.,"74.0""",Orthodox,18,5,0,0,4.66,37%,3.42,56%,0.71,22%,63%,0.7
Erisson,Ferreira,Gato,"5' 6""",125 lbs.,"70.0""",Orthodox,12,2,0,0,1.75,32%,2.75,56%,1.11,100%,66%,1.7
Brunno,Ferreira,The Hulk,"5' 10""",185 lbs.,"72.0""",Orthodox,10,1,0,0,5.79,53%,5.22,47%,0,0%,50%,0
Scott,Ferrozzo,The Pitbull,"5' 11""",323 lbs.,--,Orthodox,4,2,0,0,0,0%,0,0%,0,0%,0%,0
Timo,Feucht,,"6' 3""",205 lbs.,"79.0""",Orthodox,8,1,0,0,0,0%,0,0%,0,0%,0%,0
Andre,Fialho,,"6' 0""",170 lbs.,"74.0""",Orthodox,16,8,0,0,3.3,41%,6.26,45%,0.25,100%,66%,0
Drew,Fickett,The Master,"5' 10""",155 lbs.,"70.0""",Orthodox,42,21,0,0,2.33,41%,2.29,57%,1.3,35%,30%,2.2
Scott,Fiedler,,"6' 4""",235 lbs.,--,Orthodox,0,1,0,0,0,0%,0,0%,0,0%,0%,0
Ron,Fields,Killing,"6' 2""",200 lbs.,--,Orthodox,28,32,1,0,0.33,33%,2.64,11%,0,0%,0%,0
Michal,Figlak,Mad Dog,"5' 10""",155 lbs.,"70.0""",Orthodox,8,1,0,0,1.87,29%,4,44%,1,20%,57%,0
Deiveson,Figueiredo,Deus da Guerra,"5' 5""",135 lbs.,"68.0""",Orthodox,21,3,1,0,3.09,55%,3.5,51%,1.44,42%,57%,1.8
Francisco,Figueiredo,Sniper,"5' 6""",125 lbs.,"68.0""",Southpaw,13,5,1,0,2.04,61%,2.59,61%,2.51,75%,76%,0.4
Anthony,Figueroa,,"5' 4""",135 lbs.,--,Orthodox,11,8,1,0,2.37,48%,3.77,49%,0,0%,58%,0
Edwin,Figueroa,El Feroz,"5' 7""",135 lbs.,"69.0""",Orthodox,9,5,0,0,2.57,39%,3.06,51%,0.2,100%,37%,0.6
Paulo,Filho,,"5' 8""",185 lbs.,--,Southpaw,23,6,3,0,1.86,48%,1.67,66%,2.4,32%,42%,1.6
Jafel,Filho,Pastor,"5' 7""",125 lbs.,"68.0""",Orthodox,15,3,0,0,2,37%,2.31,45%,1.53,27%,55%,2
Andre,Fili,Touchy,"5' 11""",145 lbs.,"74.0""",Orthodox,22,10,0,0,3.83,37%,4.13,51%,2.22,47%,69%,0.3
Mirko,Filipovic,Cro Cop,"6' 2""",230 lbs.,"73.0""",Southpaw,35,11,2,0,2.11,50%,1.89,63%,0.19,40%,78%,0.3
Brady,Fink,,"6' 0""",183 lbs.,--,Orthodox,2,3,0,0,1.69,41%,1.69,61%,3.63,25%,0%,3.6
Jesse,Finney,,"6' 0""",170 lbs.,--,,5,1,0,0,0,0%,0,0%,0,0%,0%,0
Jan,Finney,Cuddles,"5' 8""",135 lbs.,--,Orthodox,11,12,0,0,2.16,28%,8.75,42%,0.77,11%,25%,0
Torrez,Finney,The Punisher,"5' 8""",185 lbs.,"75.0""",Orthodox,7,0,0,0,0.91,58%,2.33,47%,13.61,63%,0%,3.9
Luigi,Fioravanti,,"5' 8""",170 lbs.,"70.0""",Orthodox,26,15,0,0,2.23,42%,2.21,69%,3.76,63%,67%,0.9
Nick,Fiore,,"5' 10""",155 lbs.,"72.0""",Orthodox,6,2,0,0,2.83,46%,7.93,42%,2.5,45%,71%,0
Manon,Fiorot,The Beast,"5' 7""",125 lbs.,"65.0""",Orthodox,11,1,0,0,6.05,39%,3.31,69%,1.36,46%,91%,0
Luiz,Firmino,Buscape,"5' 6""",154 lbs.,--,Orthodox,19,8,0,0,1.23,50%,1.22,51%,3.86,45%,20%,0.9
Spencer,Fisher,The King,"5' 7""",155 lbs.,"68.0""",Southpaw,24,9,0,0,3.17,43%,3.03,64%,0.67,30%,60%,0.8
Chris,Fishgold,,"5' 8""",145 lbs.,"68.0""",Orthodox,18,4,1,0,2.01,32%,2.7,46%,2.59,46%,44%,1.3
Bryanna,Fissori,,"5' 4""",145 lbs.,--,,2,4,0,0,1.4,46%,1.2,57%,2,25%,50%,0
Jon,Fitch,,"6' 0""",170 lbs.,"74.0""",Orthodox,30,7,1,0,2.61,50%,1.65,54%,3.6,51%,56%,0.8
Isi,Fitikefu,Doxz,"5' 10""",205 lbs.,--,,6,0,0,0,0,0%,0,0%,0,0%,0%,0
Rafael,Fiziev,Ataman,"5' 8""",155 lbs.,"71.0""",Switch,12,3,0,0,4.9,51%,4.97,49%,0.29,40%,89%,0
Colin,Fletcher,The Freakshow,"6' 2""",155 lbs.,--,Orthodox,14,8,0,0,3.1,34%,2.97,62%,0,0%,27%,0
AJ,Fletcher,The Ghost,"5' 10""",170 lbs.,"67.0""",Switch,10,3,0,0,3.36,49%,4.61,46%,1.54,35%,33%,0.9
Jimmy,Flick,The Brick,"5' 7""",125 lbs.,"68.0""",Orthodox,16,7,0,0,1.99,50%,5.05,38%,1.66,27%,0%,4.4
Luke,Flores,,"6' 0""",155 lbs.,"73.0""",Southpaw,9,2,0,0,1.56,44%,1.88,60%,0,0%,40%,1.2
Ty,Flores,Big Medicine,"6' 3""",205 lbs.,"73.0""",Switch,7,3,0,0,2,37%,7.8,25%,1,9%,0%,0
Alejandro,Flores,El Gallito,"5' 10""",145 lbs.,"73.0""",Orthodox,17,3,0,0,3.66,40%,2.02,54%,0,0%,0%,0
Kenny,Florian,KenFlo,"5' 10""",145 lbs.,"74.0""",Southpaw,14,6,0,0,2.41,40%,1.85,63%,2.22,33%,60%,1.3
Darrius,Flowers,Beast Mode,"5' 9""",170 lbs.,"71.0""",Orthodox,12,6,1,0,4.19,56%,7.02,40%,1.7,33%,100%,0
Cody,Floyd,,--,--,--,,2,0,0,0,0,0%,0,0%,0,0%,0%,0
Bobby,Flynn,,--,170 lbs.,--,,6,4,0,0,0.38,25%,0.77,0%,0,0%,0%,0
