First,Last,Nickname,Ht.,Wt.,Reach,Stance,W,L,D,Belt,SLpM,Str.Acc,SApM,Str.Def,TD Avg,TD Acc,TD Def,Sub. Avg
Jake,Ellenberger,The Juggernaut,"5' 9""",170 lbs.,"71.0""",Orthodox,31,15,0,0,2.47,39%,2.83,60%,2.04,47%,86%,0.4
Joe,Ellenberger,Excalibur,"5' 9""",155 lbs.,"72.0""",Orthodox,15,2,0,0,1.62,47%,3.45,48%,3.17,40%,0%,1.1
Tim,Elliott,,"5' 7""",125 lbs.,"66.0""",Southpaw,20,13,1,0,3.41,44%,2.67,56%,3.73,47%,59%,1
Oban,Elliott,The Welsh Gangster,"6' 0""",170 lbs.,"72.0""",Orthodox,9,2,0,0,3.87,44%,2.8,61%,4,44%,0%,0
Eddy,Ellis,Fast,"5' 9""",170 lbs.,--,Orthodox,21,16,1,0,3.4,69%,1.53,68%,4,66%,50%,2
Lisa,Ellis,,"5' 4""",115 lbs.,--,,15,11,0,0,1.68,48%,2.32,57%,4.19,63%,50%,0.6
Anna,Elmose,Panda,"5' 3""",115 lbs.,--,Orthodox,3,2,0,0,3.68,49%,4.64,56%,0,0%,33%,0
Cameron,Else,Camchida,"5' 9""",135 lbs.,"71.0""",Switch,10,6,0,0,1.99,40%,8.09,51%,0,0%,0%,0
Aaron,Ely,The Cyborg,"5' 8""",135 lbs.,--,,5,2,0,0,0.82,15%,0.66,69%,2.47,100%,50%,4.9
Sovannahry,Em,The Sweet Savage,"5' 4""",135 lbs.,--,,3,1,0,0,0,0%,0,0%,0,0%,0%,0
Ramazan,Emeev,Gorets,"5' 10""",170 lbs.,"76.0""",Southpaw,20,6,0,0,2.53,45%,2.14,65%,2.37,29%,66%,0.7
Aleksander,Emelianenko,,"6' 6""",255 lbs.,--,Orthodox,23,7,0,0,2.75,41%,1.7,65%,2.32,72%,66%,0.9
Fedor,Emelianenko,The Last Emperor,"6' 0""",230 lbs.,"74.0""",Orthodox,36,5,0,0,3.18,51%,1,63%,2,63%,82%,1.9
Rob,Emerson,The Saint,"5' 9""",155 lbs.,"70.0""",Orthodox,18,12,0,0,2.5,30%,2.83,64%,2.02,52%,65%,0.4
Jamall,Emmers,Pretty Boy,"5' 10""",145 lbs.,"74.0""",Orthodox,20,7,0,0,5.1,48%,3.79,57%,1.96,40%,90%,0.2
Josh,Emmett,CC0,"5' 6""",145 lbs.,"70.0""",Orthodox,18,4,0,0,4.07,36%,4.66,61%,0.92,37%,46%,0.1
Marius,Enache,,"5' 11""",155 lbs.,--,,3,3,0,0,1.71,34%,0.66,84%,3.94,100%,0%,3.9
Kevin,Engel,The Hitman,"6' 2""",170 lbs.,--,,5,1,0,0,0,0%,0,0%,0,0%,0%,0
Kolton,Englund,White Assassin,"5' 10""",155 lbs.,"69.0""",Orthodox,9,4,0,0,2.31,25%,11.54,40%,0,0%,0%,0
Oliver,Enkamp,,"6' 0""",170 lbs.,"77.0""",Switch,7,2,0,0,2.38,36%,3.55,37%,0.87,16%,0%,0
Alex,Enlund,,"5' 10""",145 lbs.,--,Orthodox,14,2,0,0,0,0%,0,0%,0,0%,0%,0
Kenny,Ento,Tha' Dragon,"6' 2""",192 lbs.,--,,14,15,0,0,8.41,79%,0,100%,5.49,100%,0%,11
Ian,Entwistle,Enty,"5' 5""",135 lbs.,--,Orthodox,9,3,0,0,0.11,7%,7.36,31%,0,0%,0%,12.1
Andy,Enz,Tank Mode,"6' 3""",185 lbs.,"78.0""",Orthodox,10,4,0,0,3.51,23%,5.32,57%,0,0%,58%,0
Won Jin,Eoh,,"5' 7""",160 lbs.,--,Orthodox,5,5,1,0,3.74,44%,3.58,46%,0,0%,50%,0
Josh,Epps,,--,130 lbs.,--,,6,7,0,0,0,0%,0,0%,0,0%,0%,0
Steve,Erceg,Astroboy,"5' 8""",125 lbs.,"68.0""",Orthodox,11,1,0,0,4.27,48%,3.57,49%,2,33%,77%,1
Tom,Erikson,The Big Cat,"6' 3""",280 lbs.,--,Orthodox,9,4,1,0,0.94,47%,1.87,25%,4.68,60%,100%,6.2
Konstantin,Erokhin,,"5' 11""",230 lbs.,--,Orthodox,9,3,0,0,1.07,36%,1.83,47%,0,0%,70%,0
Julian,Erosa,Juicy J,"6' 1""",145 lbs.,"74.0""",Southpaw,28,12,0,0,6.22,48%,6.35,47%,1.66,46%,61%,0.6
Jarno,Errens,,"5' 11""",145 lbs.,"73.0""",Orthodox,13,5,1,0,1.67,38%,2.93,52%,0,0%,33%,0.5
